"sample_id","Homo_zygote_gain","Hemi_zygote_gain","NoChange","Hemi_zygote_loss","Homo_zygote_loss","type_status","HoGain","HeGain","HeLoss","HoLoss","CNV_Changed","Gain","Loss","CNV_D","CNV_Status","Gain_n","Loss_n","Loss_ov_Gain","Loss_eq_Gain","Condition","QuantileThreshold","Cluster"
"TCGA.EJ.A7NG.01",0,0,24775,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,4.03616402970617e-05,"[0,0.031]",1
"TCGA.EJ.A7NH.01",153,2753,18514,3202,154,FALSE,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,2,0,2,2,FALSE,FALSE,0.2527445915402,"(0.184,0.791]",4
"TCGA.EJ.A7NJ.01",0,0,24774,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,8.07232805941233e-05,"[0,0.031]",1
"TCGA.EJ.A7NK.01",13,0,24761,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.000605424604455925,"[0,0.031]",1
"TCGA.EJ.A7NM.01",646,0,22941,1163,26,TRUE,TRUE,FALSE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.0740636099451082,"(0.031,0.0836]",2
"TCGA.EJ.A8FN.01",0,1174,23164,0,438,TRUE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.0650629641588634,"(0.031,0.0836]",2
"TCGA.EJ.A8FO.01",0,0,24542,0,234,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.00944462382951243,"[0,0.031]",1
"TCGA.EJ.A8FP.01",0,0,24771,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0.000201808201485308,"[0,0.031]",1
"TCGA.EJ.A8FS.01",607,0,22640,1526,3,TRUE,TRUE,FALSE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.0862124636745237,"(0.0836,0.184]",3
"TCGA.EJ.A8FU.01",0,0,24774,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,8.07232805941233e-05,"[0,0.031]",1
"TCGA.EJ.AB20.01",0,1165,23610,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.0470616725863739,"(0.031,0.0836]",2
"TCGA.EJ.AB27.01",0,617,23790,264,105,TRUE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.0397965773329028,"(0.031,0.0836]",2
"TCGA.FC.7708.01",7,0,23834,922,13,TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,TRUE,FALSE,0.0380206651598321,"(0.031,0.0836]",2
